Date,Page Views,Amount Spent,Total Page Likes,Daily Paid Likes,Daily Organic Likes,Paid Post Impressions,Organic Post Impressions,,
5/17/2017,7,$77.91,597,14,1,1698,37,,
5/18/2017,6,$38.02,608,12,0,682,85,,
5/19/2017,4,$23.02,615,7,0,407,59,,
5/20/2017,2,$16.26,621,6,0,612,84,,
5/21/2017,2,$23.77,630,9,0,947,53,,
5/22/2017,4,$29.49,635,5,0,2908,30,,
5/23/2017,2,$40.51,644,9,0,4211,56,,
5/24/2017,3,$56.87,663,19,0,2424,32,,
5/25/2017,7,$58.27,685,21,1,4082,18,,
5/26/2017,8,$81.12,712,27,0,10304,64,,
5/27/2017,12,$188.40,724,13,0,23296,106,,
5/28/2017,14,$362.14,756,33,0,14884,118,,
5/29/2017,12,$208.76,775,19,1,4425,107,,
5/30/2017,19,$75.28,787,10,2,8057,58,,
5/31/2017,13,$140.03,804,16,1,10851,36,,
6/1/2017,19,$164.71,832,24,2,10216,133,,
6/2/2017,17,$186.99,858,25,0,12044,133,,
6/3/2017,8,$171.49,880,20,1,11860,148,,
6/4/2017,9,$177.03,904,23,1,14332,110,,
